,Location,Latitude,Longitude,Cluster,Distance
0,Kazhipattur,12.823581,80.231043,3,0
1,Vandalur,12.8916061,80.084974,3,0
2,Sithalapakkam,12.8917047,80.1851133,3,0
3,Perumbakkam,12.892316,80.188892,3,0
4,Mudichur,12.9054047,80.0675789,3,0
5,Madambakkam,12.9057186,80.1543859,3,0
6,Peerkankaranai,12.9080858,80.1009824,3,0
7,Karapakkam,12.9117073,80.2277203,3,0
8,Perungalathur,12.9145454,80.0879549,3,0
9,Sholinganallur,12.9174426,80.21649018230858,3,0
10,Selaiyur,12.9187445,80.1311172,3,0
11,Injambakkam,12.9189367,80.251295,3,0
12,Medavakkam,12.9229928,80.1882897,3,0
13,Tambaram,12.9299028,80.1118231,3,0
14,Pallikaranai,12.9304748,80.2077692,3,0
15,Chitlapakkam,12.9330984,80.1413832,3,0
16,Nanmangalam,12.9382161,80.1782483,3,0
17,Thuraipakkam,12.9385525,80.2372132,3,0
18,Chrompet,12.9394208,80.13661312256016,3,0
19,Kovilambakkam,12.9395276,80.1826297,3,0
20,Neelankarai,12.9454955,80.2574692,1,0
21,Nemilichery,12.9460425,80.1637154,3,0
22,Keelkattalai,12.9548473,80.1852685,3,0
23,Palavakkam,12.95999,80.2560268,1,0
24,Madipakkam,12.9611348,80.2001292,3,0
25,Thiruneermalai,12.9633872,80.1144526,3,0
26,Kottivakkam,12.9705053,80.2615033,1,0
27,Perungudi,12.9710239,80.2418051,1,0
28,Pammal,12.9737938,80.1408,3,0
29,Puzhuthivakkam/ Ullagaram,12.9739799,80.2029314,3,0
30,MGR Nagar,12.9795827,80.2494441,1,0
31,Nanganallur,12.9801242,80.184902,3,0
32,Velachery,12.980165450000001,80.22285056225584,1,0
33,Tirusulam,12.9804609,80.1657933,3,0
34,Adambakkam,12.9822215,80.209121,1,0
35,Tharamani,12.98515725,80.24097476670357,1,0
36,Thiruvanmiyur,12.9858948,80.2644215,1,0
37,Meenambakkam,12.9866009,80.1726357,3,0
38,Pazhavanthangal,12.9883524,80.1891324,3,0
39,Pallavaram,12.989815700000001,80.10098654184341,3,0
40,Pozhichalur,12.9905297,80.1440498,3,0
41,IIT Madras,12.9914769,80.2336786,1,0
42,Kundrathur,12.9957704,80.0973114,3,0
