,Location,Location Latitude,Location Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Kazhipattur,12.823580999999999,80.231043,Kazhipattur bus stop,12.820894213927952,80.23030965244702,Bus Station
1,Kazhipattur,12.823580999999999,80.231043,Inzy gardens,12.82789,80.230997,Asian Restaurant
2,Vandalur,12.8916061,80.084974,Vandalur Railway Station,12.890972624527054,80.08466151355866,Platform
3,Vandalur,12.8916061,80.084974,Brown House Restaurant,12.890035,80.08471,Restaurant
4,Vandalur,12.8916061,80.084974,Axis Bank ATM,12.8935639,80.0810529,ATM
5,Mudichur,12.905404699999998,80.06757890000002,MedPlus,12.905841,80.066522,Pharmacy
6,Mudichur,12.905404699999998,80.06757890000002,Apollo Pharmacy,12.9034005,80.0657756,Pharmacy
7,Madambakkam,12.9057186,80.15438590000001,Madambakkam Tank ground ( TG ),12.909577313105054,80.15240091740691,Playground
8,Peerkankaranai,12.9080858,80.1009824,Vardhaman Motors,12.909158,80.09971,Motorcycle Shop
9,Peerkankaranai,12.9080858,80.1009824,Erikarai,12.908928871154785,80.098876953125,Bus Station
10,Peerkankaranai,12.9080858,80.1009824,Lake view,12.904717498687457,80.10168045450676,Bowling Alley
11,Peerkankaranai,12.9080858,80.1009824,sathyam cinemas,12.910231476222306,80.09799875710232,Multiplex
12,Peerkankaranai,12.9080858,80.1009824,HDFC Bank ATM,12.9047725,80.0985901,ATM
13,Karapakkam,12.9117073,80.2277203,komala's restaurant,12.913364326415921,80.22968335386867,Indian Restaurant
14,Karapakkam,12.9117073,80.2277203,Gourmad's Delight,12.913299175149277,80.2291932039239,Indian Restaurant
15,Karapakkam,12.9117073,80.2277203,Cake World,12.910872017264786,80.22856145096657,Bakery
16,Karapakkam,12.9117073,80.2277203,Famous Theory,12.910573,80.228243,Multicuisine Indian Restaurant
17,Karapakkam,12.9117073,80.2277203,Rasavid,12.91474773301771,80.22932935697894,Indian Restaurant
18,Perungalathur,12.9145454,80.08795490000001,Axis Bank ATM,12.91659,80.0866,ATM
19,Perungalathur,12.9145454,80.08795490000001,Amul Icecream Parlour,12.910944980084572,80.08947843308556,Ice Cream Shop
20,Perungalathur,12.9145454,80.08795490000001,VSR Sports Academy,12.918706,80.08666,Sports Club
21,Sholinganallur,12.9174426,80.21649018230858,Domino's Pizza,12.917,80.214,Pizza Place
22,Selaiyur,12.9187445,80.1311172,McRennett-Elliot Foods,12.922802641404086,80.13129738550778,Bakery
23,Selaiyur,12.9187445,80.1311172,PASSANG KITCHEN,12.915034294128418,80.1290054321289,Asian Restaurant
24,Selaiyur,12.9187445,80.1311172,Vasan Eye Care,12.922428560478789,80.12875654301327,Optical Shop
25,Selaiyur,12.9187445,80.1311172,Tambaram station Platform 2,12.922428560478789,80.12875654301327,Platform
26,Selaiyur,12.9187445,80.1311172,Captain's Corner,12.92246909574217,80.12875654301327,Tea Room
