,Location,Latitude,Longitude,Cluster
0,George Town,5.4145681,100.3298035,
1,Mannady,9.0880298,76.737411,
2,Thirumangalam,9.79800945,77.92984261528223,
3,Puthagaram,10.461796,79.523907,
4,K.K. Nagar,11.2104649,78.1691726,
5,Perumbakkam,12.2202453,78.9945343,
6,Pudupet,12.532496,78.510064,
7,Kottur,12.6280058,78.6965918,
8,Sembakkam,12.7023624,80.1298612,
9,Kazhipattur,12.823581,80.231043,
10,Vandalur,12.8916061,80.084974,
11,Sithalapakkam,12.8917047,80.1851133,
12,Perumbakkam,12.892316,80.188892,
13,Mudichur,12.9054047,80.0675789,
14,Madambakkam,12.9057186,80.1543859,
15,Peerkankaranai,12.9080858,80.1009824,
16,Karapakkam,12.9117073,80.2277203,
17,Perungalathur,12.9145454,80.0879549,
18,Sholinganallur,12.9174426,80.21649018230858,
19,Selaiyur,12.9187445,80.1311172,
20,Injambakkam,12.9189367,80.251295,
21,Medavakkam,12.9229928,80.1882897,
22,Tambaram,12.9299028,80.1118231,
23,Pallikaranai,12.9304748,80.2077692,
24,Chitlapakkam,12.9330984,80.1413832,
25,Nanmangalam,12.9382161,80.1782483,
26,Thuraipakkam,12.9385525,80.2372132,
27,Chrompet,12.9394208,80.13661312256016,
28,Kovilambakkam,12.9395276,80.1826297,
29,Neelankarai,12.9454955,80.2574692,
30,Nemilichery,12.9460425,80.1637154,
31,Keelkattalai,12.9548473,80.1852685,
32,Palavakkam,12.95999,80.2560268,
33,Madipakkam,12.9611348,80.2001292,
34,Thiruneermalai,12.9633872,80.1144526,
35,Kottivakkam,12.9705053,80.2615033,
36,Perungudi,12.9710239,80.2418051,
37,Pammal,12.9737938,80.1408,
38,Puzhuthivakkam/ Ullagaram,12.9739799,80.2029314,
39,MGR Nagar,12.9795827,80.2494441,
40,Nanganallur,12.9801242,80.184902,
41,Velachery,12.980165450000001,80.22285056225584,
42,Tirusulam,12.9804609,80.1657933,
43,Adambakkam,12.9822215,80.209121,
44,Tharamani,12.98515725,80.24097476670357,
45,Thiruvanmiyur,12.9858948,80.2644215,
46,Meenambakkam,12.9866009,80.1726357,
47,Pazhavanthangal,12.9883524,80.1891324,
48,Pallavaram,12.989815700000001,80.10098654184341,
49,Pozhichalur,12.9905297,80.1440498,
50,IIT Madras,12.9914769,80.2336786,
51,Kundrathur,12.9957704,80.0973114,
52,Besant Nagar,12.9996907,80.2682259,
53,Gerugambakkam,13.001751,80.1375408,
54,Alandur,13.00282155,80.17191860222883,
55,St.Thomas Mount,13.005115199999999,80.19349521206897,
56,Adyar,13.00645,80.2577791,
